Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
LINC02257	4.171646615880706	0.804655522130129	0.29511973495077387	3.0200604751915995e-4	0.01273208552450941	TRUE
RNU2-58P	10.960581335566712	0.8037734891621011	0.24285600106753027	4.7176597960393464e-5	0.006252658917071612	TRUE
OTOS	11.819444771056322	0.8034105884207199	0.24020458175452197	4.561840549670329e-5	0.006216050825181736	TRUE
LOC101928896	14.008430366460473	0.8003128207798434	0.25139351204268595	7.583222275575093e-5	0.0075211083197874095	TRUE
LINC01624	3.8102134382437876	0.8001508700456399	0.598194005903519	0.003690595753571205	0.03435751036630826	TRUE
RN7SL323P	5.363428685008446	0.7986192898644905	0.31186846631340853	4.229087066290275e-4	0.014363836961649402	TRUE
LINC02720	4.608027559808071	0.7981149036624569	0.3490556007701311	9.378242627665867e-4	0.019677977106556097	TRUE
RN7SL47P	12.655046105398561	0.7961861108909789	0.22841814838338437	3.085548095728416e-5	0.005157493475839314	TRUE
CXCL17	3.8938049832686428	0.7959686675294629	0.3419996420285143	6.95828436803375e-4	0.01735529007363896	TRUE
MIR6124	2.0427566734431815	0.7931436171774472	0.39277343182409913	0.0015304848697852468	0.023669043797447463	TRUE
HORMAD2	4.727729270002993	0.7928277424486163	0.4848430518548574	0.0024208407678162594	0.028654543359281186	TRUE
RNU2-18P	5.154390606095328	0.7892780340307669	0.35652475124361177	8.801497882781931e-4	0.019152460982190492	TRUE
RAX2	13.495857749689296	0.7887469311588352	0.2261543606192177	2.4607430187177696e-5	0.00505098481074941	TRUE
MEOX1	7.2086229710963625	0.786093881492862	0.28617940088073396	2.819690631133699e-4	0.012436652253818679	TRUE
ATP6V1B1	17.179731536482574	0.7854725019084045	0.2664706243173383	1.5921486359291175e-4	0.00974228984097413	TRUE
LINC02587	3.061251738443751	0.7840914379560853	0.3260840528561705	7.037311635921048e-4	0.017434863416613055	TRUE
PHF21B	182.43715445295376	0.7839144371883598	0.18334378315906202	1.0567168517502118e-6	0.0012095181085132922	TRUE
LOC105370616	12.486294651998445	0.7833650350994344	0.3814610020695408	0.0015391927418483397	0.023721069116134752	TRUE
LL22NC01-81G9.3	11.076354182020344	0.7819372366133852	0.25213087025915076	1.0131341332501753e-4	0.008195288543591172	TRUE
LINC01683	34.695863495113294	0.7812942489489348	0.2972758562882022	3.8360704706868126e-4	0.013850997667975158	TRUE
PLIN5	361.06025614487646	0.7808912259331784	0.15063734048428445	1.428378703856777e-8	1.634922264434467e-4	TRUE
LINC00613	2.066976230685639	0.7787159575751146	0.393035361105472	0.00165691045007836	0.02448676179676812	TRUE
VSIG4	46.538242538096156	0.778075067204167	0.3240763805523048	0.6086802833943926	0.7366981626025397	FALSE
SOX9	1586.6057270541396	0.777764140501249	0.237806677624996	5.3761150594142844e-5	0.006536322538559177	TRUE
RN7SL472P	18.5529289695069	0.7777026951744386	0.20076099874830647	0.20644151189760562	0.35595084913021086	FALSE
CLEC4F	4.940006577954421	0.776145967306423	0.43949746812038043	0.0025030490971095047	0.02900661682911763	TRUE
SMTNL2	16.744025856146955	0.7748456892215391	0.2712987297454145	1.8163039211332557e-4	0.010224399971824788	TRUE
RN7SL589P	44.097469029601854	0.7705211938721221	0.30265684591224085	4.8079163540831174e-4	0.015035904532468678	TRUE
HSPB1	1656.2686399349525	0.7695093591865586	0.3139866377155104	6.180471607167297e-4	0.01659143737921543	TRUE
AURKB	3.9089061491915063	0.7688244656649524	0.35932681168190367	0.0012993450062731234	0.02224727440808103	TRUE
SMARCAD1-DT	10.72062829454014	0.7682242317518103	0.2725524638358083	2.277186918310341e-4	0.011400827534499282	TRUE
OC90	3.391166215355348	0.7674099261461272	0.5422556982124165	0.003625139530484301	0.03398102301881677	TRUE
FCGR3B	8.72427764448824	0.7670910357657756	0.3418522969205158	9.583009346581996e-4	0.019771633117009045	TRUE
C1orf87	12.749234508352925	0.7645224160746545	0.3362873025139838	9.880275958451467e-4	0.0199071499504398	TRUE
TRPM8	67.2267884645651	0.7634802691903907	0.2356647105399679	5.92827222516853e-5	0.0066864408035931435	TRUE
RN7SL598P	4.636161157324772	0.7623488472315072	0.27670351846375635	2.677881485337465e-4	0.012211566327160406	TRUE
SALL3	516.1244680476966	0.7609430852546148	0.229622192836304	4.735620771809563e-5	0.006252658917071612	TRUE
LPIN3	233.90466160199978	0.7597277280708634	0.1715621784460101	5.51221241320939e-7	9.29325722275628e-4	TRUE
ALAS2	16.099660105003327	0.7577373126739152	0.5171257658531901	0.003637837072577443	0.03406027250120361	TRUE
TUSC7	32.68853624036465	0.7576524004074657	0.2469760539046163	1.0896924988439854e-4	0.008342889860714553	TRUE
IHO1	41.19950694768164	0.7561347440704477	0.2376985538612157	7.607769555449922e-5	0.0075211083197874095	TRUE
ADH1B	50.614760389452044	0.7542087860140269	0.19350076692692653	5.54548290635974e-6	0.0023440783143679504	TRUE
POTED	2.3988284869660825	0.7535981120536759	0.4783014976005996	0.002948436252364781	0.031169345929176275	TRUE
LOC122394732	2.284490420971173	0.7514072348661675	0.36724228634759337	0.0015803741140153725	0.02401930222993248	TRUE
CKM	18.923035212349504	0.7512282066753917	0.2855682774154593	3.5681980362785054e-4	0.013479074166087053	TRUE
RN7SL456P	3.6623522560417014	0.7502264112894812	0.30689887448279063	5.972286334419718e-4	0.016570855953116533	TRUE
CD226	147.92068475919794	0.7489815935389749	0.24488693508735077	1.0783274157380359e-4	0.008340082731302696	TRUE
FOLR1	7.81224936624341	0.746896774272822	0.2318997236837484	7.118905181597009e-5	0.007452869979196657	TRUE
NQO1	319.85007927146665	0.7466912677548002	0.1600021221296759	2.0478646418848363e-7	6.241587326797813e-4	TRUE
MIR1-1HG	6.865234627161017	0.7456299228969115	0.30583785776984773	6.878585764528801e-4	0.017322836669042167	TRUE
LOC124900188	4.509399447925669	0.7442188005039774	0.26256790282322373	2.3730491106222366e-4	0.011509288186517848	TRUE
LINC02142	9.42844905588647	0.7429965608722239	0.28682669518943416	4.755842179724604e-4	0.014994754208296924	TRUE
LCN10	44.69557644562341	0.742356008841105	0.33447955912277755	0.0010146987302867133	0.020135191769500852	TRUE
WNT7B	632.9009356424912	0.7387033826514461	0.19729858918527907	9.8720391170545e-6	0.0032284388495373087	TRUE
CUZD1	8.158768847855683	0.7381491742179627	0.3490199937532816	0.0012436735935529826	0.022044660281968432	TRUE
VRTN	6.0364536354679315	0.7351395907190064	0.3720918158104997	0.001711513248539829	0.024750449327589238	TRUE
LINC01104	55.390509038491956	0.733916545246034	0.38031258124760503	0.0018740124353039235	0.02573478864365772	TRUE
PNLDC1	30.014579314710545	0.7326506349483897	0.203881119846452	0.039227922575443296	0.12153276540763945	FALSE
RN7SL718P	304.79001945904906	0.7325818375915484	0.2955984949476935	6.048062201367754e-4	0.016570855953116533	TRUE
RNU6-313P	2.519439652169972	0.7325716633966207	0.38631980337509253	0.0020822487218118673	0.026884849260979844	TRUE
FXYD2	23.433403473307308	0.7325487817816091	0.23125640907728767	8.11457180842417e-5	0.007536811695414598	TRUE
GRM7-AS1	5.949467227751454	0.7320754974030556	0.3315557703719251	0.001074064193634715	0.020644397582439883	TRUE
CHDH	1268.195364166431	0.7318890427940669	0.2062423445412983	2.2121546356832718e-5	0.004732770459818828	TRUE
HYAL4	24.746340992500652	0.7316240439533742	0.276991683754922	3.756267809300771e-4	0.013741931892971456	TRUE
SLC35G5	14.326878340672359	0.7314677205044119	0.2539598240697194	2.0882673669966433e-4	0.011044232285555646	TRUE
LINC02341	2.878316731410692	0.7312053826191626	0.33329408300817437	0.0011500331484834714	0.021141163946203172	TRUE
LOC101928371	6.340859843016106	0.7302465526619198	0.2948150027540303	6.035479697404172e-4	0.016570855953116533	TRUE
SNORD114-3	5.515649177844038	0.7299716507655915	0.3713660944157076	0.0017710580575216238	0.025006133267937252	TRUE
NFIA-AS1	3.432544290657067	0.7296686502578339	0.30998196660641264	7.60509578418537e-4	0.017932277696228013	TRUE
SLC26A7	10.438723902146505	0.729357035046807	0.44839723616692984	0.0028079789699377096	0.03065724074387609	TRUE
LINC02241	8.482152365110656	0.7282860464350654	0.34156099655622785	0.0013594770832092479	0.022584288380860743	TRUE
LOC124900452	5.16453821148898	0.7278995548959576	0.3970914434482837	0.0023749331492963098	0.028344612893045754	TRUE
NFATC1	242.93467714486624	0.7277632170875687	0.23218867659726455	9.162819367117653e-5	0.007838920643117635	TRUE
SOCS1	10.0964686745754	0.7267944647854669	0.2953499107550264	5.825118804069257e-4	0.016483142109116618	TRUE
LINC01486	3.690565243680671	0.7266240065149964	0.37597051958447497	0.0020336373407618944	0.02667852493107237	TRUE
C1QC	215.44399648388693	0.7262665808535517	0.3032118857718475	0.9851007418279252	0.9918162546477046	FALSE
ALDH4A1	3128.1398504496824	0.7259358156252828	0.18422930016505212	4.7135676740898155e-6	0.0021619134660063786	TRUE
MIR648	4.820962869319456	0.7258110586945278	0.326210181498739	0.0010810192597279823	0.02067243233670185	TRUE
